file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
S011,0.0,61.82775510204082,INV,-48.79666525149604,-62.549537658691406,1.491907744603272,5.492826291710067
S028,0.0,60.33485260770975,INV,-50.210125559423176,-61.19936670575823,1.491907744603272,2.104411619845166
S052,0.0,84.21621315192743,INV,-56.17178965803847,-55.276876994541716,1.4919048448868024,0.9155176489431405
S040,0.0,32.49367346938776,INV,-47.17998326408126,-59.37685939243862,1.4270454440034837,8.05676497452658
S049,0.0,34.213582766439906,PAR,-39.56582505115463,-64.72739791870117,1.395602570044207,10.034544277216884
S055,0.0,67.33482993197279,INV,-71.14760322293183,-73.37031381780452,1.3626672644663678,0.35578919267582343
S002,0.0,57.09510204081633,INV,-38.64919822679509,-66.95979770861175,1.2163656165133963,6.331251391764329
S012,0.0,44.92519274376417,INV,-56.05259222679724,-57.914187622070315,1.0852850700170518,4.434918981614896
S006,0.0,71.4904081632653,INV,-37.69339243250804,-67.52897060618682,1.0596570132524632,11.75957024269988
S007,0.0,60.856485260770974,INV,-35.66770816217549,-65.2403497134938,0.9048196578761487,19.532940563712643
S021,0.0,61.355374149659866,PAR,-64.1666700619296,-61.32392644882202,0.8281748188310547,2.824494466209197
S035,0.0,52.217777777777776,INV,-60.205913682497126,-64.80886875499378,0.7127399420100091,4.944284191351478
S059,0.0,58.5121768707483,INV,-49.10937232951632,-58.77766973322088,0.7127328991515539,3.4361374182700537
S004,0.0,100.54034013605443,PAR,-62.82041973343943,-62.409932136535645,0.6978005672039147,2.183547846932603
S051,0.0,96.01936507936507,PAR,-64.45763252447406,-55.3807487487793,0.655704838201065,0.15275810131730694
S005,0.0,81.31160997732427,INV,-46.60926162218669,-69.6377779642741,0.6534809673625357,17.219538201759768
S068,0.0,31.629002267573696,PAR,,,,
